input,target
grammar: New and new technology has been introduced to the society.,New technology has been introduced to society.
grammar: New and new technology has been introduced to the society.,New technology has been introduced into the society.
grammar: New and new technology has been introduced to the society.,Newer and newer technology has been introduced into society.
grammar: New and new technology has been introduced to the society.,Newer and newer technology has been introduced to the society.
grammar: One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries.,One possible outcome is that an environmentally-induced reduction in motorization levels in richer countries will outweigh any rise in motorization levels in poorer countries.
grammar: One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries.,One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries.
grammar: One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries.,One possible outcome is that an environmentally induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries.
grammar: One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries.,One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries.
"grammar: Every person needs to know a bit about math, sciences, arts, literature and history in order to stand out in society.","Every person needs to know a bit about math, science, art, literature and history in order to stand out in society."
"grammar: Every person needs to know a bit about math, sciences, arts, literature and history in order to stand out in society.","Every person needs to know a bit about math, sciences, arts, literature and history in order to stand out in society."
"grammar: Every person needs to know a bit about math, sciences, arts, literature and history in order to stand out in society.","Every person needs to know a bit about math, science, the arts, literature, and history in order to stand out in society."
"grammar: Every person needs to know a bit about math, sciences, arts, literature and history in order to stand out in society.","Every person needs to know a bit about math, science, arts, literature and history in order to stand out in society."
"grammar: While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends, it is highly unlikely, that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive.","While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends, it is highly unlikely that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive."
"grammar: While the travel company will most likely show them some interesting sites in order for their customers to advertise for their company to their family and friends, it is highly unlikely, that the company will tell about the sites that were not included in the tour -- for example due to entrance fees that would make the total package price overly expensive.","While the travel company will most likely show them some interesting sites in order to advertise their company to their family and friends, it is highly unlikely that the company will advertise the sites that were not included in the tour -- for example, due to entrance fees that would make the total package price overly expensive."
